bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=262 SPIN=1 NTYPE=  2
 -3.800000  3.800000  3.800000
  3.800000 -3.800000  3.800000
  3.800000  3.800000 -3.800000
    1  435  2.200000  0.030000    1
  0.000000  0.000000  0.000000
 0.1059968700176D+03 0.1059967740486D+03 0.1059966751192D+03 0.1059965731389D+03
 0.1059964680149D+03 0.1059963596513D+03 0.1059962479494D+03 0.1059961328074D+03
 0.1059960141205D+03 0.1059958917806D+03 0.1059957656766D+03 0.1059956356936D+03
 0.1059955017137D+03 0.1059953636150D+03 0.1059952212721D+03 0.1059950745557D+03
 0.1059949233328D+03 0.1059947674660D+03 0.1059946068140D+03 0.1059944412312D+03
 0.1059942705674D+03 0.1059940946679D+03 0.1059939133735D+03 0.1059937265200D+03
 0.1059935339380D+03 0.1059933354535D+03 0.1059931308866D+03 0.1059929200524D+03
 0.1059927027601D+03 0.1059924788133D+03 0.1059922480095D+03 0.1059920101401D+03
 0.1059917649901D+03 0.1059915123381D+03 0.1059912519558D+03 0.1059909836081D+03
 0.1059907070527D+03 0.1059904220399D+03 0.1059901283125D+03 0.1059898256054D+03
 0.1059895136454D+03 0.1059891921512D+03 0.1059888608327D+03 0.1059885193912D+03
 0.1059881675186D+03 0.1059878048979D+03 0.1059874312019D+03 0.1059870460940D+03
 0.1059866492270D+03 0.1059862402432D+03 0.1059858187741D+03 0.1059853844400D+03
 0.1059849368496D+03 0.1059844755996D+03 0.1059840002746D+03 0.1059835104464D+03
 0.1059830056740D+03 0.1059824855027D+03 0.1059819494642D+03 0.1059813970758D+03
 0.1059808278402D+03 0.1059802412448D+03 0.1059796367617D+03 0.1059790138466D+03
 0.1059783719388D+03 0.1059777104606D+03 0.1059770288166D+03 0.1059763263932D+03
 0.1059756025584D+03 0.1059748566606D+03 0.1059740880286D+03 0.1059732959707D+03
 0.1059724797742D+03 0.1059716387046D+03 0.1059707720050D+03 0.1059698788956D+03
 0.1059689585728D+03 0.1059680102084D+03 0.1059670329492D+03 0.1059660259158D+03
 0.1059649882022D+03 0.1059639188747D+03 0.1059628169712D+03 0.1059616815002D+03
 0.1059605114402D+03 0.1059593057385D+03 0.1059580633102D+03 0.1059567830376D+03
 0.1059554637688D+03 0.1059541043168D+03 0.1059527034586D+03 0.1059512599338D+03
