bcc Sb -- Hedin-Lundqvist LDA                                                   
INPUT  IT=231 SPIN=1 NTYPE=  2
 -3.000000  3.000000  3.000000
  3.000000 -3.000000  3.000000
  3.000000  3.000000 -3.000000
    1  435  1.700000  0.030000    1
  0.000000  0.000000  0.000000
 0.1019981842283D+03 0.1019981281666D+03 0.1019980703754D+03 0.1019980108015D+03
 0.1019979493897D+03 0.1019978860834D+03 0.1019978208243D+03 0.1019977535522D+03
 0.1019976842049D+03 0.1019976127186D+03 0.1019975390273D+03 0.1019974630631D+03
 0.1019973847558D+03 0.1019973040333D+03 0.1019972208211D+03 0.1019971350425D+03
 0.1019970466184D+03 0.1019969554672D+03 0.1019968615049D+03 0.1019967646449D+03
 0.1019966647978D+03 0.1019965618716D+03 0.1019964557714D+03 0.1019963463993D+03
 0.1019962336546D+03 0.1019961174334D+03 0.1019959976284D+03 0.1019958741292D+03
 0.1019957468220D+03 0.1019956155895D+03 0.1019954803106D+03 0.1019953408608D+03
 0.1019951971114D+03 0.1019950489300D+03 0.1019948961800D+03 0.1019947387207D+03
 0.1019945764069D+03 0.1019944090890D+03 0.1019942366129D+03 0.1019940588196D+03
 0.1019938755454D+03 0.1019936866212D+03 0.1019934918730D+03 0.1019932911215D+03
 0.1019930841816D+03 0.1019928708626D+03 0.1019926509680D+03 0.1019924242952D+03
 0.1019921906354D+03 0.1019919497734D+03 0.1019917014871D+03 0.1019914455479D+03
 0.1019911817200D+03 0.1019909097603D+03 0.1019906294184D+03 0.1019903404359D+03
 0.1019900425467D+03 0.1019897354764D+03 0.1019894189420D+03 0.1019890926521D+03
 0.1019887563061D+03 0.1019884095942D+03 0.1019880521969D+03 0.1019876837852D+03
 0.1019873040196D+03 0.1019869125504D+03 0.1019865090171D+03 0.1019860930478D+03
 0.1019856642596D+03 0.1019852222574D+03 0.1019847666342D+03 0.1019842969702D+03
 0.1019838128330D+03 0.1019833137766D+03 0.1019827993413D+03 0.1019822690534D+03
 0.1019817224244D+03 0.1019811589508D+03 0.1019805781137D+03 0.1019799793780D+03
 0.1019793621923D+03 0.1019787259881D+03 0.1019780701794D+03 0.1019773941621D+03
 0.1019766973136D+03 0.1019759789920D+03 0.1019752385356D+03 0.1019744752623D+03
 0.1019736884690D+03 0.1019728774310D+03 0.1019720414011D+03 0.1019711796092D+03
 0.1019702912612D+03 0.1019693755389D+03 0.1019684315986D+03 0.1019674585706D+03
 0.1019664555583D+03 0.1019654216377D+03 0.1019643558561D+03 0.1019632572314D+03
 0.1019621247513D+03 0.1019609573722D+03 0.1019597540182D+03 0.1019585135804D+03
