   EF           el_#      N(EF)     Tc       
   1.3720000    7.1510    4.2246    43.6732
   1.3740000    7.1680    4.2942    44.8501
   1.3760000    7.1853    4.3704    46.2537
   1.3780000    7.2030    4.4546    47.8900
   1.3800000    7.2210    4.5472    49.7151
   1.3820000    7.2394    4.6481    51.5396
   1.3840000    7.2582    4.7565    53.4717
   1.3860000    7.2774    4.8635    55.4295
   1.3880000    7.2971    4.9516    57.0486
   1.3900000    7.3170    5.0224    58.3664
   1.3920000    7.3372    5.0666    59.2447
   1.3940000    7.3575    5.0832    59.5289
   1.3960000    7.3778    5.0725    59.3922
   1.3980000    7.3979    4.9995    58.0756
   1.4000000    7.4179    4.9755    57.9209
   1.4020000    7.4377    4.9383    57.3996
   1.4040000    7.4573    4.8840    56.3158
   1.4060000    7.4768    4.8448    55.0168
   1.4080000    7.4961    4.7749    53.6906
   1.4100000    7.5151    4.7329    52.7298
   1.4120000    7.5340    4.7450    52.7876
   1.4140000    7.5530    4.7579    52.9010
   1.4160000    7.5720    4.7323    52.4184
   1.4180000    7.5908    4.6735    50.8271
   1.4200000    7.6094    4.5914    49.2261
   1.4220000    7.6276    4.5186    47.6871
   1.4240000    7.6455    4.4456    46.3330
   1.4260000    7.6631    4.3491    44.1863
   1.4280000    7.6802    4.2011    40.8151
   1.4300000    7.6967    4.0617    37.5874
   1.4320000    7.7127    3.9364    34.7336
   1.4340000    7.7282    3.8236    32.0909
   1.4360000    7.7433    3.7230    29.8188
   1.4380000    7.7580    3.6410    28.0553
   1.4400000    7.7724    3.5598    26.1373
   1.4420000    7.7865    3.4790    24.4425
   1.4440000    7.8003    3.4203    23.2383
   1.4460000    7.8138    3.3443    21.6466
   1.4480000    7.8271    3.2649    20.0209
   1.4500000    7.8400    3.2069    18.7915
   1.4520000    7.8527    3.1359    17.2240
   1.4540000    7.8651    3.0290    14.9298
   1.4560000    7.8769    2.9222    12.4983
   1.4580000    7.8885    2.8916    11.8252
   1.4600000    7.9001    2.8622    11.2945
   1.4620000    7.9114    2.7956    10.1972
   1.4640000    7.9225    2.7594    9.5575
   1.4660000    7.9334    2.7229    8.9701
   1.4680000    7.9443    2.6832    8.3024
   1.4700000    7.9549    2.6465    7.8291
   1.4720000    7.9654    2.6178    7.5229
   1.4740000    7.9759    2.5903    7.2107
   1.4760000    7.9862    2.5621    6.8193
   1.4780000    7.9964    2.5332    6.4710
   1.4800000    8.0064    2.5034    6.0515
