
col=l
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	0	1	2	0
5.6 	0	1	2	0
5.8 	0	1	2	0
6.0 	0	1	2	0
6.2 	0	1	2	0
6.4 	0	1	2	0
6.6 	0	1	2	0
6.8 	0	1	2	0
7.0 	0	1	2	0
7.2 	0	1	2	0

col=SIN
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	0.22644	0.00182	0.07985	0.21201
5.6 	0.18522	0.00436	0.05527	0.21969
5.8 	0.14538	0.00781	0.03797	0.22941
6.0 	0.10865	0.01129	0.02589	0.24803
6.2 	0.07724	0.01528	0.01833	0.25542
6.4 	0.04809	0.01985	0.01234	0.27075
6.6 	0.02640	0.02313	0.00862	0.28746
6.8 	0.01078	0.02591	0.00601	0.30537
7.0 	0.00189	0.02812	0.00419	0.32427
7.2 	0.00033	0.02968	0.00292	0.34368

col=DOS-PRODUCT
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	2.97767	2.80015	1.64280	2.57024
5.6 	2.26375	2.41152	1.30236	1.96285
5.8 	1.62945	1.99059	1.04072	1.45018
6.0 	1.13989	1.56743	0.78615	1.00375
6.2 	0.98632	1.50362	0.74968	0.88934
6.4 	0.78397	1.31063	0.66899	0.70607
6.6 	0.73333	1.34108	0.66935	0.67198
6.8 	0.69209	1.39413	0.67895	0.64346
7.0 	0.66104	1.47824	0.69783	0.62357
7.2 	0.63609	1.59952	0.72930	0.60922

col=ETA
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	3.51097	0.05293	2.04907	2.83739
5.6 	2.12735	0.10661	1.09573	2.18791
5.8 	1.18802	0.15603	0.59458	1.66849
6.0 	0.63031	0.18014	0.31080	1.26702
6.2 	0.35364	0.21336	0.19139	1.05438
6.4 	0.16778	0.23154	0.11018	0.85080
6.6 	0.07669	0.24570	0.06852	0.76503
6.8 	0.02625	0.25409	0.04307	0.69109
7.0 	0.00389	0.25862	0.02729	0.62913
7.2 	0.00057	0.26050	0.01751	0.57436

col=rs
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	1.70000	1.70000	1.70000	1.00000
5.6 	1.70000	1.70000	1.70000	1.00000
5.8 	1.70000	1.70000	1.70000	1.00000
6.0 	1.70000	1.70000	1.70000	1.00000
6.2 	1.70000	1.70000	1.70000	1.00000
6.4 	1.70000	1.70000	1.70000	1.00000
6.6 	1.70000	1.70000	1.70000	1.00000
6.8 	1.70000	1.70000	1.70000	1.00000
7.0 	1.70000	1.70000	1.70000	1.00000
7.2 	1.70000	1.70000	1.70000	1.00000

col=ef
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	2.27938	2.27938	2.27938	2.27938
5.6 	2.06800	2.06800	2.06800	2.06800
5.8 	1.88037	1.88037	1.88037	1.88037
6.0 	1.71178	1.71178	1.71178	1.71178
6.2 	1.56921	1.56921	1.56921	1.56921
6.4 	1.43478	1.43478	1.43478	1.43478
6.6 	1.31780	1.31780	1.31780	1.31780
6.8 	1.21199	1.21199	1.21199	1.21199
7.0 	1.11592	1.11592	1.11592	1.11592
7.2 	1.02854	1.02854	1.02854	1.02854

col=nef
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
5.4 	4.31018	4.31018	4.31018	4.31018
5.6 	4.01329	4.01329	4.01329	4.01329
5.8 	3.69179	3.69179	3.69179	3.69179
6.0 	3.31188	3.31188	3.31188	3.31188
6.2 	3.32877	3.32877	3.32877	3.32877
6.4 	3.17439	3.17439	3.17439	3.17439
6.6 	3.27621	3.27621	3.27621	3.27621
6.8 	3.39301	3.39301	3.39301	3.39301
7.0 	3.53154	3.53154	3.53154	3.53154
7.2 	3.69182	3.69182	3.69182	3.69182
