 ETA_Sb     ETA_H        
    0.4182    0.8155
    0.4319    0.8404
    0.4489    0.8732
    0.4662    0.9063
    0.4847    0.9428
    0.5040    0.9807
    0.5272    1.0286
    0.5529    1.0809
    0.5782    1.1315
    0.6003    1.1766
    0.6192    1.2154
    0.6360    1.2478
    0.6650    1.3097
    0.7298    1.4623
    0.7819    1.5834
    0.7699    1.5475
    0.6730    1.3156
    0.6558    1.2700
    0.6464    1.2427
    0.6373    1.2155
    0.6267    1.1880
    0.6162    1.1592
    0.6064    1.1336
    0.6057    1.1297
    0.5904    1.0848
    0.5542    0.9820
    0.5278    0.9057
    0.5123    0.8615
    0.5051    0.8389
    0.4987    0.8172
    NaN    NaN
