 EF           el_#      N(EF)     Tc       
   1.3800000    8.5593    3.0061    15.5741
   1.3820000    8.5715    3.0886    17.1692
   1.3840000    8.5840    3.1902    19.3253
   1.3860000    8.5970    3.2968    21.5492
   1.3880000    8.6104    3.4108    24.0431
   1.3900000    8.6243    3.5286    26.6738
   1.3920000    8.6387    3.6785    30.0259
   1.3940000    8.6538    3.8490    33.7098
   1.3960000    8.6695    4.0119    37.2705
   1.3980000    8.6858    4.1543    40.4247
   1.4000000    8.7027    4.2755    43.1230
   1.4020000    8.7200    4.3758    45.3592
   1.4040000    8.7378    4.5752    49.5761
   1.4060000    8.7570    5.0457    59.5960
   1.4080000    8.7780    5.4072    67.1643
   1.4100000    8.8000    5.2843    64.9690
   1.4120000    8.8196    4.5681    49.9996
   1.4140000    8.8375    4.4286    46.9227
   1.4160000    8.8551    4.3434    45.0714
   1.4180000    8.8723    4.2590    43.2073
   1.4200000    8.8891    4.1714    41.3108
   1.4220000    8.9056    4.0823    39.3174
   1.4240000    8.9218    3.9990    37.5386
   1.4260000    8.9377    3.9857    37.2684
   1.4280000    8.9535    3.8550    34.1480
   1.4300000    8.9683    3.5573    26.9906
   1.4320000    8.9820    3.3306    21.7821
   1.4340000    8.9951    3.2001    18.8486
   1.4360000    9.0077    3.1340    17.3877
   1.4380000    9.0202    3.0732    16.0076
   0.0000000    NEF    TC=    
