 ETA_Sb     ETA_H        	 EF           el_#      N(EF)     Tc       
    0.4182    0.8155	   1.3800000    8.5593    3.0061    15.5741
    0.4319    0.8404	   1.3820000    8.5715    3.0886    17.1692
    0.4489    0.8732	   1.3840000    8.5840    3.1902    19.3253
    0.4662    0.9063	   1.3860000    8.5970    3.2968    21.5492
    0.4847    0.9428	   1.3880000    8.6104    3.4108    24.0431
    0.5040    0.9807	   1.3900000    8.6243    3.5286    26.6738
    0.5272    1.0286	   1.3920000    8.6387    3.6785    30.0259
    0.5529    1.0809	   1.3940000    8.6538    3.8490    33.7098
    0.5782    1.1315	   1.3960000    8.6695    4.0119    37.2705
    0.6003    1.1766	   1.3980000    8.6858    4.1543    40.4247
    0.6192    1.2154	   1.4000000    8.7027    4.2755    43.1230
    0.6360    1.2478	   1.4020000    8.7200    4.3758    45.3592
    0.6650    1.3097	   1.4040000    8.7378    4.5752    49.5761
    0.7298    1.4623	   1.4060000    8.7570    5.0457    59.5960
    0.7819    1.5834	   1.4080000    8.7780    5.4072    67.1643
    0.7699    1.5475	   1.4100000    8.8000    5.2843    64.9690
    0.6730    1.3156	   1.4120000    8.8196    4.5681    49.9996
    0.6558    1.2700	   1.4140000    8.8375    4.4286    46.9227
    0.6464    1.2427	   1.4160000    8.8551    4.3434    45.0714
    0.6373    1.2155	   1.4180000    8.8723    4.2590    43.2073
    0.6267    1.1880	   1.4200000    8.8891    4.1714    41.3108
    0.6162    1.1592	   1.4220000    8.9056    4.0823    39.3174
    0.6064    1.1336	   1.4240000    8.9218    3.9990    37.5386
    0.6057    1.1297	   1.4260000    8.9377    3.9857    37.2684
    0.5904    1.0848	   1.4280000    8.9535    3.8550    34.1480
    0.5542    0.9820	   1.4300000    8.9683    3.5573    26.9906
    0.5278    0.9057	   1.4320000    8.9820    3.3306    21.7821
    0.5123    0.8615	   1.4340000    8.9951    3.2001    18.8486
    0.5051    0.8389	   1.4360000    9.0077    3.1340    17.3877
    0.4987    0.8172	   1.4380000    9.0202    3.0732    16.0076
