bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=137 SPIN=1 NTYPE=  2
 -3.300000  3.300000  3.300000
  3.300000 -3.300000  3.300000
  3.300000  3.300000 -3.300000
    1  601  1.700000  0.015000    1
  0.000000  0.000000  0.000000
 0.1038907256467D+03 0.1038890534335D+03 0.1038873556389D+03 0.1038856318514D+03
 0.1038838816281D+03 0.1038821046063D+03 0.1038803003753D+03 0.1038784685178D+03
 0.1038766086103D+03 0.1038747202226D+03 0.1038728029180D+03 0.1038708562531D+03
 0.1038688797776D+03 0.1038668730343D+03 0.1038648355590D+03 0.1038627668805D+03
 0.1038606665200D+03 0.1038585339917D+03 0.1038563688021D+03 0.1038541704502D+03
 0.1038519384273D+03 0.1038496722169D+03 0.1038473712944D+03 0.1038450351274D+03
 0.1038426631751D+03 0.1038402548884D+03 0.1038378097099D+03 0.1038353270735D+03
 0.1038328064043D+03 0.1038302471188D+03 0.1038276486244D+03 0.1038250103193D+03
 0.1038223315926D+03 0.1038196118239D+03 0.1038168503833D+03 0.1038140466312D+03
 0.1038111999182D+03 0.1038083095848D+03 0.1038053749614D+03 0.1038023953682D+03
 0.1037993701149D+03 0.1037962985004D+03 0.1037931798131D+03 0.1037900133302D+03
 0.1037867983181D+03 0.1037835340315D+03 0.1037802197139D+03 0.1037768545972D+03
 0.1037734379013D+03 0.1037699688343D+03 0.1037664465920D+03 0.1037628703578D+03
 0.1037592393026D+03 0.1037555525847D+03 0.1037518093492D+03 0.1037480087281D+03
 0.1037441498403D+03 0.1037402317908D+03 0.1037362536712D+03 0.1037322145588D+03
 0.1037281135170D+03 0.1037239495947D+03 0.1037197218260D+03 0.1037154292305D+03
 0.1037110708126D+03 0.1037066455613D+03 0.1037021524501D+03 0.1036975904370D+03
 0.1036929584636D+03 0.1036882554556D+03 0.1036834803219D+03 0.1036786319551D+03
 0.1036737092302D+03 0.1036687110056D+03 0.1036636361216D+03 0.1036584834012D+03
 0.1036532516490D+03 0.1036479396516D+03 0.1036425461766D+03 0.1036370699732D+03
 0.1036315097711D+03 0.1036258642806D+03 0.1036201321924D+03 0.1036143121771D+03
 0.1036084028849D+03 0.1036024029454D+03 0.1035963109674D+03 0.1035901255381D+03
 0.1035838452236D+03 0.1035774685676D+03 0.1035709940919D+03 0.1035644202957D+03
 0.1035577456553D+03 0.1035509686236D+03 0.1035440876303D+03 0.1035371010807D+03
 0.1035300073564D+03 0.1035228048138D+03 0.1035154917848D+03 0.1035080665756D+03
 0.1035005274668D+03 0.1034928727131D+03 0.1034851005423D+03 0.1034772091557D+03
 0.1034691967273D+03 0.1034610614032D+03 0.1034528013017D+03 0.1034444145127D+03
 0.1034358990970D+03 0.1034272530864D+03 0.1034184744827D+03 0.1034095612578D+03
 0.1034005113531D+03 0.1033913226790D+03 0.1033819931143D+03 0.1033725205062D+03
 0.1033629026694D+03 0.1033531373861D+03 0.1033432224051D+03 0.1033331554414D+03
 0.1033229341763D+03 0.1033125562561D+03 0.1033020192922D+03 0.1032913208604D+03
 0.1032804585004D+03 0.1032694297155D+03 0.1032582319719D+03 0.1032468626982D+03
 0.1032353192851D+03 0.1032235990847D+03 0.1032116994100D+03 0.1031996175345D+03
 0.1031873506917D+03 0.1031748960743D+03 0.1031622508340D+03 0.1031494120808D+03
 0.1031363768825D+03 0.1031231422641D+03 0.1031097052075D+03 0.1030960626505D+03
 0.1030822114867D+03 0.1030681485647D+03 0.1030538706876D+03 0.1030393746126D+03
 0.1030246570501D+03 0.1030097146634D+03 0.1029945440680D+03 0.1029791418312D+03
 0.1029635044714D+03 0.1029476284575D+03 0.1029315102084D+03 0.1029151460924D+03
 0.1028985324266D+03 0.1028816654765D+03 0.1028645414549D+03 0.1028471565222D+03
 0.1028295067849D+03 0.1028115882956D+03 0.1027933970524D+03 0.1027749289979D+03
 0.1027561800191D+03 0.1027371459467D+03 0.1027178225543D+03 0.1026982055581D+03
 0.1026782906162D+03 0.1026580733281D+03 0.1026375492340D+03 0.1026167138147D+03
 0.1025955624902D+03 0.1025740906201D+03 0.1025522935024D+03 0.1025301663732D+03
 0.1025077044062D+03 0.1024849027121D+03 0.1024617563382D+03 0.1024382602677D+03
 0.1024144094194D+03 0.1023901986469D+03 0.1023656227386D+03 0.1023406764169D+03
 0.1023153543377D+03 0.1022896510900D+03 0.1022635611958D+03 0.1022370791090D+03
 0.1022101992156D+03 0.1021829158331D+03 0.1021552232098D+03 0.1021271155250D+03
 0.1020985868881D+03 0.1020696313387D+03 0.1020402428458D+03 0.1020104153080D+03
 0.1019801425530D+03 0.1019494183369D+03 0.1019182363447D+03 0.1018865901897D+03
 0.1018544734129D+03 0.1018218794836D+03 0.1017888017986D+03 0.1017552336822D+03
 0.1017211683862D+03 0.1016865990898D+03 0.1016515188991D+03 0.1016159208477D+03
 0.1015797978961D+03 0.1015431429320D+03 0.1015059487702D+03 0.1014682081526D+03
