With H3S freq parameters
col=SIN
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
54 	0.05757	0.74826	0.21876	0.05599
56 	0.06743	0.87127	0.19215	0.05631
58 	0.07877	0.95602	0.16551	0.05843
60 	0.08938	0.99667	0.13456	0.06397
62 	0.10020	0.99450	0.11151	0.06765
64 	0.11206	0.95605	0.08992	0.07391
66 	0.12135	0.89401	0.06988	0.08140
68 	0.12988	0.81610	0.05342	0.08980
70 	0.13756	0.73014	0.04026	0.09901
72 	0.14429	0.64259	0.02999	0.10875
74 	0.15040	0.38258	0.00587	0.10652
col=DOS-PRODUCT
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
54 	0.74340	0.07474	0.11023	0.46075
56 	0.77218	0.07328	0.10132	0.49307
58 	0.79966	0.07476	0.09782	0.52259
60 	0.86363	0.07798	0.09575	0.54278
62 	0.83398	0.08161	0.09546	0.54644
64 	0.88371	0.08846	0.09543	0.55230
66 	0.92804	0.09864	0.09876	0.55714
68 	1.06353	0.11318	0.10550	0.57179
70 	1.18894	0.12881	0.11029	0.56908
72 	1.57304	0.15570	0.12707	0.60419
74 	5.17098	0.47251	1.51367	1.77840
col=ETA
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
54 	0.43826	1.14548	0.74088	0.26417
56 	0.45408	1.11368	0.50938	0.24216
58 	0.46818	1.06255	0.36104	0.22697
60 	0.49167	0.99012	0.24619	0.22116
62 	0.46540	0.90404	0.17784	0.20588
64 	0.47771	0.81599	0.12419	0.19693
66 	0.47207	0.73935	0.08678	0.19011
68 	0.50024	0.66901	0.06123	0.18595
70 	0.51736	0.59503	0.04214	0.17824
72 	0.61899	0.54570	0.03117	0.17919
74 	0.93339	0.43391	0.03201	0.22735
col=RS
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
54 	1.70000	1.70000	1.70000	1.00000
56 	1.70000	1.70000	1.70000	1.00000
58 	1.70000	1.70000	1.70000	1.00000
60 	1.70000	1.70000	1.70000	1.00000
62 	1.70000	1.70000	1.70000	1.00000
64 	1.70000	1.70000	1.70000	1.00000
66 	1.70000	1.70000	1.70000	1.00000
68 	1.70000	1.70000	1.70000	1.00000
70 	1.70000	1.70000	1.70000	1.00000
72 	1.70000	1.70000	1.70000	1.00000
74 	1.70000	1.70000	1.70000	1.00000
col=Ef
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
54 	2.01677	2.01677	2.01677	2.01677
56 	1.82860	1.82860	1.82860	1.82860
58 	1.66087	1.66087	1.66087	1.66087
60 	1.51135	1.51135	1.51135	1.51135
62 	1.38322	1.38322	1.38322	1.38322
64 	1.26279	1.26279	1.26279	1.26279
66 	1.15842	1.15842	1.15842	1.15842
68 	1.06409	1.06409	1.06409	1.06409
70 	0.97835	0.97835	0.97835	0.97835
72 	0.90030	0.90030	0.90030	0.90030
74 	0.66075	0.66075	0.66075	0.66075
col=N(Ef)
a 	 Te-l=0 Te-l=1 Te-l=2 H-l=0 
54 	1.93907	1.93907	1.93907	1.93907
56 	2.06455	2.06455	2.06455	2.06455
58 	2.20011	2.20011	2.20011	2.20011
60 	2.33632	2.33632	2.33632	2.33632
62 	2.44557	2.44557	2.44557	2.44557
64 	2.57742	2.57742	2.57742	2.57742
66 	2.72106	2.72106	2.72106	2.72106
68 	2.89318	2.89318	2.89318	2.89318
70 	3.04533	3.04533	3.04533	3.04533
72 	3.25063	3.25063	3.25063	3.25063
74 	5.42102	5.42102	5.42102	5.42102



